a2a-agent-interoperability-en.md	en	2026-05-26	Beyond Tool Calls: Designing Reliable Agent-to-Agent Collaboration with A2A	A practical system-design guide to Agent Cards, task lifecycles, capability negotiation, streaming, push updates, and trust boundaries in agent-to-agent systems.
a2a-agent-interoperability-vi.md	vi	2026-05-26	Beyond Tool Calls: Thiết kế Agent-to-Agent Collaboration đáng tin cậy với A2A	Góc nhìn system design thực tế về Agent Card, task lifecycle, capability negotiation, streaming, push update và trust boundary trong hệ thống agent-to-agent.
agent-evals-regression-suite-en.md	en	2026-05-18	Do Not Ship a Tool-Calling AI Agent Without Evals: Designing a Regression Suite	A correct final answer can still hide the wrong tool call, an unsafe state change, a retry loop, or an unbounded bill. Here is how to turn those failures into a regression suite that belongs in CI/CD.
agent-evals-regression-suite-vi.md	vi	2026-05-18	Đừng đưa AI Agent lên Production khi chưa có Evals: Thiết kế Regression Suite cho Tool-Calling Agent	Một agent có thể trả lời đúng nhưng vẫn gọi nhầm tool, làm sai state, lặp vô hạn hoặc đốt quá ngân sách. Bài viết này biến những lỗi đó thành regression suite có thể chạy trong CI/CD.
agent-handover-architecture-en.md	en	2026-02-16	Stop AI Agent Amnesia: The Handover Architecture Pattern	A repo-level pattern that lets any AI agent pick up work where another one dropped it: one constitution, a handover ledger, a routing map, and a non-AI forcing function.
agent-handover-architecture-vi.md	vi	2026-02-16	Kiến trúc Handover: Đổi từ Claude sang Codex trong 1 giây	Một pattern ở tầng repo giúp bất kỳ AI agent nào cũng tiếp nhận được công việc dang dở: một bộ hiến pháp, một sổ bàn giao, một bản đồ định tuyến và một cơ chế kiểm tra phi-AI.
agent-identity-delegation-revocation-en.md	en	2026-06-18	AI Agent Identity Is Not a User ID: Designing Delegation, Scope, and Revocation	A production guide to separating user, client, and AI agent identities, enforcing delegated authority with scoped tokens, preserving attribution across services, and revoking access safely.
agent-identity-delegation-revocation-vi.md	vi	2026-06-18	Identity của AI Agent không phải User ID: Thiết kế Delegation, Scope và Revocation	Hướng dẫn production để tách user, client và AI agent identity, thực thi delegated authority bằng token giới hạn, giữ attribution xuyên service và thu hồi quyền an toàn.
agent-memory-policy-lifecycle-en.md	en	2026-02-14	Your AI Agent Needs a Memory Policy, Not Just a Vector Database	A practical design for deciding what an AI agent may remember, when memory should be consolidated or forgotten, and how to evaluate memory without turning every conversation into permanent storage.
agent-memory-policy-lifecycle-vi.md	vi	2026-02-14	AI Agent cần Memory Policy, không chỉ một Vector Database	Thiết kế thực tế để quyết định AI agent được phép ghi nhớ gì, khi nào memory nên được hợp nhất hoặc quên đi, và cách đánh giá memory mà không biến mọi cuộc trò chuyện thành kho lưu trữ vĩnh viễn.
